x_ang,y_ang,z_ang
1.808599999999999852e+01,4.567000000000000171e+00,1.802100000000000080e+01
1.594500000000000028e+01,5.814000000000000057e+00,1.786799999999999855e+01
1.734600000000000009e+01,5.817000000000000171e+00,1.787500000000000000e+01
1.948799999999999955e+01,4.578000000000000291e+00,1.809700000000000131e+01
2.248799999999999955e+01,4.530000000000000249e+00,1.799699999999999989e+01
2.023100000000000165e+01,5.799999999999999822e+00,1.798000000000000043e+01
2.173900000000000077e+01,5.793999999999999595e+00,1.778800000000000026e+01
2.395899999999999963e+01,4.512999999999999901e+00,1.799699999999999989e+01
2.688100000000000023e+01,4.480999999999999872e+00,1.805900000000000105e+01
2.467999999999999972e+01,5.785999999999999588e+00,1.795299999999999940e+01
2.615800000000000125e+01,5.738999999999999879e+00,1.812500000000000000e+01
2.836400000000000077e+01,4.500000000000000000e+00,1.797299999999999898e+01
3.129500000000000171e+01,4.503999999999999559e+00,1.780900000000000105e+01
2.912199999999999989e+01,5.772999999999999687e+00,1.788100000000000023e+01
3.052100000000000080e+01,5.762999999999999901e+00,1.772299999999999898e+01
3.271800000000000352e+01,4.533000000000000362e+00,1.766600000000000037e+01
3.570100000000000051e+01,4.488999999999999879e+00,1.779799999999999827e+01
3.349499999999999744e+01,5.785999999999999588e+00,1.763800000000000168e+01
3.496999999999999886e+01,5.753000000000000114e+00,1.788299999999999912e+01
3.709499999999999886e+01,4.443999999999999950e+00,1.814099999999999824e+01
4.017399999999999949e+01,4.477999999999999758e+00,1.797599999999999909e+01
3.788199999999999790e+01,5.671999999999999709e+00,1.802799999999999869e+01
3.937500000000000000e+01,5.735000000000000320e+00,1.814300000000000068e+01
4.163199999999999790e+01,4.508000000000000007e+00,1.816799999999999926e+01
4.457300000000000040e+01,4.581999999999999851e+00,1.779299999999999926e+01
4.235000000000000142e+01,5.806000000000000050e+00,1.799599999999999866e+01
4.384899999999999665e+01,5.817999999999999616e+00,1.781099999999999994e+01
2.015000000000000124e+00,7.094000000000000306e+00,1.789099999999999824e+01
4.939000000000000057e+00,7.107000000000000206e+00,1.778500000000000014e+01
2.712000000000000188e+00,8.298999999999999488e+00,1.817500000000000071e+01
4.168999999999999595e+00,8.330000000000000071e+00,1.819099999999999895e+01
6.403999999999999915e+00,7.100999999999999979e+00,1.782000000000000028e+01
9.323000000000000398e+00,7.033999999999999808e+00,1.801699999999999946e+01
7.092999999999999972e+00,8.361000000000000654e+00,1.816799999999999926e+01
